Game Turn, From, To, Initiator, Type, SubType, Message
292, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
292, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
292, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
292, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
292, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
292, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
292, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
292, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
293, 5, 4, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
293, 5, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
293, 5, 4, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
295, 1, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
295, 1, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
295, 1, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
295, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
295, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
295, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
295, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, -1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Adding to pending
295, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Broadcasting
295, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 0, 1, 1, MAKE_DEAL, AI_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
295, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
295, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
295, 4, 0, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
295, 4, 0, 4, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Adding to pending
295, 4, 0, 4, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Processing Statement
295, 4, 0, 4, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Processing Immediately
295, 0, 4, 4, WARNING_DONT_SETTLE_NEAR_ME, NONE, POSITIVE, Adding to pending
