Game Turn, Range, Value, Seed, Type, Location
232, 7, 3, 1265675011, sync, Selecting a random new quest
232, 8, 0, 2053499520, sync, Choosing random district type for Zone District quest
232, 7, 5, 165152953, sync, Selecting a random new quest
232, 4, 2, 3149546750, sync, Choosing random civic type for Trigger Civic Boost quest
232, 1, 0, 2311648351, sync, GetNextBuyablePlot picker
232, 1, 0, 92221100, sync, GetNextBuyablePlot picker
232, 30, 14, 3697768309, sync, Choosing a Citizen Name
232, 1, 0, 2012328714, sync, GetNextBuyablePlot picker
232, 2, 0, 3123869563, sync, GetNextBuyablePlot picker
232, 1, 0, 1275496856, sync, GetNextBuyablePlot picker
232, 1, 0, 1615140337, sync, GetNextBuyablePlot picker
232, 2, 0, 864024022, sync, GetNextBuyablePlot picker
232, 1, 0, 1676087383, sync, GetNextBuyablePlot picker
232, 3, 0, 2863048516, sync, GetNextBuyablePlot picker
232, 1, 0, 310648877, sync, GetNextBuyablePlot picker
232, 3, 1, 1943902562, sync, GetNextBuyablePlot picker
232, 3, 2, 1575115507, sync, GetNextBuyablePlot picker
232, 1, 0, 4228445104, sync, GetNextBuyablePlot picker
232, 1, 0, 875532841, sync, GetNextBuyablePlot picker
232, 1, 0, 729803182, sync, GetNextBuyablePlot picker
232, 31, 10, 1765651279, sync, Choosing a Citizen Name
232, 1, 0, 1510054620, sync, GetNextBuyablePlot picker
232, 2, 0, 1913006053, sync, GetNextBuyablePlot picker
232, 6, 0, 1826943674, sync, Random Direction
232, 5, 3, 357315947, sync, Random Direction
232, 3, 0, 3313207496, sync, Random Direction
232, 6, 1, 1274436961, sync, Random Direction
232, 3, 2, 1113555078, sync, GetNextBuyablePlot picker
232, 3, 1, 3380002119, sync, GetNextBuyablePlot picker
232, 6, 2, 1629776244, sync, Random Direction
232, 2, 0, 2019192477, sync, GetNextBuyablePlot picker
232, 10, 5, 916659986, sync, Random Direction
232, 2, 1, 2430068451, sync, GetNextBuyablePlot picker
232, 10, 2, 2866325728, sync, Random Direction
232, 6, 5, 1056200601, sync, Random Direction
232, 5, 0, 3658488414, sync, Random Direction
232, 1, 0, 60296767, sync, GetNextBuyablePlot picker
232, 2, 1, 3754914572, sync, GetNextBuyablePlot picker
232, 7, 2, 2276054101, sync, Random Direction
232, 8, 3, 1354727018, sync, Random Direction
232, 5, 2, 1778995035, sync, BT Research Choice
232, 7, 0, 2005316600, sync, Random Direction
232, 5, 3, 419455185, sync, Random Direction
232, 3, 2, 3041859382, sync, Random Direction
232, 10, 3, 4119037495, sync, Random Direction
232, 5, 1, 1634670500, sync, Random Direction
232, 16, 13, 1113143565, sync, Random Direction
232, 6, 4, 3698159810, sync, Random Direction
232, 16, 7, 2868924115, sync, Random Direction
232, 5, 4, 1901595152, sync, Random Direction
232, 13, 10, 3991755017, sync, Random Direction
232, 9, 3, 3307591438, sync, Random Direction
232, 4, 0, 1534526767, sync, Random Direction
232, 6, 5, 647739196, sync, Random Direction
233, 3, 2, 3599334597, sync, GetNextBuyablePlot picker
233, 1, 0, 3253491226, sync, GetNextBuyablePlot picker
233, 1, 0, 3321414987, sync, GetNextBuyablePlot picker
233, 100, 36, 3121285928, sync, City Rebellion Roll
233, 3, 0, 1560944705, sync, GetNextBuyablePlot picker
233, 1, 0, 644463078, sync, GetNextBuyablePlot picker
233, 100, 11, 3213650727, sync, City Rebellion Roll
233, 37, 8, 513389012, sync, Choosing a Citizen Name
233, 4, 0, 966229885, sync, Generating a random new Great Person
233, 1, 0, 101158514, sync, GetNextBuyablePlot picker
233, 1, 0, 4241134275, sync, GetNextBuyablePlot picker
233, 4, 0, 1623856960, sync, GetNextBuyablePlot picker
233, 5, 1, 77698681, sync, GetNextBuyablePlot picker
233, 1, 0, 1329340350, sync, GetNextBuyablePlot picker
233, 12, 6, 3644430367, sync, Unit Combat Damage
233, 5, 1, 2430166892, sync, Choosing random tech boost to grant based on era, Player: 2
233, 4, 1, 1402741045, sync, Choosing random tech boost to grant based on era, Player: 2
233, 8, 1, 1335261642, sync, Choosing random civic boost to grant based on era, Player: 2
233, 6, 0, 946444091, sync, Selecting a random new quest
233, 1, 0, 598445656, sync, GetNextBuyablePlot picker
233, 1, 0, 3850017713, sync, GetNextBuyablePlot picker
233, 1, 0, 1821010070, sync, GetNextBuyablePlot picker
233, 4, 1, 1557163031, sync, GetNextBuyablePlot picker
233, 3, 0, 1987524612, sync, GetNextBuyablePlot picker
233, 5, 3, 451690989, sync, GetNextBuyablePlot picker
233, 2, 0, 2633791522, sync, GetNextBuyablePlot picker
233, 3, 2, 1348842163, sync, GetNextBuyablePlot picker
233, 55, 39, 3778138224, sync, Choosing a City Name
233, 1, 0, 3059224553, sync, GetNextBuyablePlot picker
233, 2, 0, 4019057774, sync, GetNextBuyablePlot picker
233, 31, 15, 989775631, sync, Choosing a Citizen Name
233, 1, 0, 2210104220, sync, GetNextBuyablePlot picker
233, 1, 0, 2677588389, sync, GetNextBuyablePlot picker
233, 2, 1, 698935674, sync, GetNextBuyablePlot picker
233, 1, 0, 3261777195, sync, GetNextBuyablePlot picker
233, 3, 0, 3117104520, sync, GetNextBuyablePlot picker
233, 1, 0, 662229793, sync, GetNextBuyablePlot picker
233, 3, 0, 1263280966, sync, GetNextBuyablePlot picker
233, 3, 2, 1347324167, sync, GetNextBuyablePlot picker
233, 1, 0, 3785009716, sync, GetNextBuyablePlot picker
233, 1, 0, 116293725, sync, GetNextBuyablePlot picker
233, 1, 0, 2207722962, sync, GetNextBuyablePlot picker
233, 1, 0, 3653283491, sync, GetNextBuyablePlot picker
233, 2, 0, 3780261280, sync, GetNextBuyablePlot picker
233, 3, 2, 370656601, sync, Random Direction
233, 5, 2, 3793114398, sync, Random Direction
233, 5, 2, 2225443327, sync, Random Direction
233, 7, 3, 2536836044, sync, Random Direction
233, 3, 2, 1995857429, sync, GetNextBuyablePlot picker
233, 3, 0, 3503203626, sync, GetNextBuyablePlot picker
233, 4, 0, 1187729179, sync, Random Direction
233, 2, 1, 546117816, sync, GetNextBuyablePlot picker
