[2021-06-03 23:11:59]	,----- FRAME: 22413 time: 26.62ms Moving avg: 17.58ms 16 frames since last 
[2021-06-03 23:12:00]	,                LuaContext::CityBannerManager, 8.67 ms
[2021-06-03 23:12:00]	,            SerialEvent::GameCoreEventPlaybackComplete, 8.84 ms
[2021-06-03 23:12:00]	,----- FRAME: 22429 time: 29.20ms Moving avg: 17.74ms 17 frames since last 
[2021-06-03 23:12:00]	,                LuaContext::CityBannerManager, 11.59 ms
[2021-06-03 23:12:00]	,            SerialEvent::GameCoreEventPlaybackComplete, 11.77 ms
[2021-06-03 23:12:00]	,----- FRAME: 22445 time: 25.37ms Moving avg: 17.61ms 17 frames since last 
[2021-06-03 23:12:01]	,                            ModelContext_updateVises, 14.92 ms
[2021-06-03 23:12:01]	,----- FRAME: 22511 time: 30.90ms Moving avg: 16.46ms 67 frames since last 
[2021-06-03 23:12:02]	,        DoGameStateSaveRequest, 1004.08 ms
[2021-06-03 23:12:02]	,    SerialEvent::PreTurnBegin, 1005.26 ms
[2021-06-03 23:12:02]	,----- FRAME: 22569 time: 15.19ms Moving avg: 16.61ms 59 frames since last 
[2021-06-03 23:12:02]	,            GameCoreEvent::TurnBegin, 8.02 ms
[2021-06-03 23:12:02]	,----- FRAME: 22572 time: 65.29ms Moving avg: 17.34ms 4 frames since last 
[2021-06-03 23:12:02]	,                LuaContext::CityBannerManager, 8.75 ms
[2021-06-03 23:12:02]	,            GameCoreEvent::PlayerTurnActivated, 9.16 ms
[2021-06-03 23:12:02]	, WONDERMOVIE: Turn number: 229. Visible mesh count: 400
[2021-06-03 23:12:02]	,----- FRAME: 22583 time: 38.72ms Moving avg: 17.59ms 12 frames since last 
[2021-06-03 23:12:03]	,            ModelContext_updateVises, 15.61 ms
[2021-06-03 23:12:03]	,----- FRAME: 22600 time: 46.97ms Moving avg: 17.97ms 18 frames since last 
[2021-06-03 23:12:46]	,UIManager_ProcessInput, 25.93 ms
[2021-06-03 23:12:46]	,----- FRAME: 25184 time: 24.71ms Moving avg: 16.84ms 2585 frames since last 
[2021-06-03 23:13:04]	,SerialEvent::UnitSelectionChanged, 5.19 ms
[2021-06-03 23:13:04]	,----- FRAME: 26183 time: 17.68ms Moving avg: 16.92ms 1000 frames since last 
[2021-06-03 23:13:09]	,LuaContext::CityBannerManager, 9.07 ms
[2021-06-03 23:13:09]	,SerialEvent::GameCoreEventPlaybackComplete, 9.28 ms
[2021-06-03 23:13:09]	, WONDERMOVIE: Turn number: 229. Visible mesh count: 400
[2021-06-03 23:13:09]	,----- FRAME: 26511 time: 27.59ms Moving avg: 16.89ms 329 frames since last 
[2021-06-03 23:13:09]	,                    LuaContext::CityBannerManager, 11.06 ms
[2021-06-03 23:13:09]	,                SerialEvent::GameCoreEventPlaybackComplete, 11.23 ms
[2021-06-03 23:13:09]	, WONDERMOVIE: Turn number: 229. Visible mesh count: 400
[2021-06-03 23:13:09]	,----- FRAME: 26529 time: 38.16ms Moving avg: 17.25ms 19 frames since last 
[2021-06-03 23:13:10]	,                LuaContext::CityBannerManager, 14.78 ms
[2021-06-03 23:13:10]	,            SerialEvent::GameCoreEventPlaybackComplete, 14.97 ms
[2021-06-03 23:13:10]	, WONDERMOVIE: Turn number: 229. Visible mesh count: 400
[2021-06-03 23:13:10]	,----- FRAME: 26548 time: 32.70ms Moving avg: 17.86ms 20 frames since last 
[2021-06-03 23:13:10]	,                    LuaContext::CityBannerManager, 5.06 ms
[2021-06-03 23:13:10]	,                SerialEvent::GameCoreEventPlaybackComplete, 5.26 ms
[2021-06-03 23:13:10]	,----- FRAME: 26561 time: 23.96ms Moving avg: 17.30ms 14 frames since last 
[2021-06-03 23:13:10]	,                        LuaContext::CityBannerManager, 9.61 ms
[2021-06-03 23:13:10]	,                    SerialEvent::GameCoreEventPlaybackComplete, 9.78 ms
[2021-06-03 23:13:10]	,----- FRAME: 26573 time: 23.71ms Moving avg: 17.29ms 13 frames since last 
[2021-06-03 23:13:12]	,DoGameStateSaveRequest, 693.05 ms
[2021-06-03 23:13:12]	,SerialEvent::PreTurnBegin, 694.30 ms
[2021-06-03 23:13:12]	,----- FRAME: 26671 time: 15.45ms Moving avg: 16.35ms 99 frames since last 
[2021-06-03 23:13:12]	,            GameCoreEvent::TurnBegin, 9.07 ms
[2021-06-03 23:13:12]	,----- FRAME: 26675 time: 64.45ms Moving avg: 17.03ms 5 frames since last 
[2021-06-03 23:13:12]	,            LuaContext::CityBannerManager, 9.47 ms
[2021-06-03 23:13:12]	,        GameCoreEvent::PlayerTurnActivated, 9.92 ms
[2021-06-03 23:13:12]	,                LuaContext::CityBannerManager, 7.57 ms
[2021-06-03 23:13:12]	,            SerialEvent::GameCoreEventPlaybackComplete, 7.91 ms
[2021-06-03 23:13:12]	, WONDERMOVIE: Turn number: 230. Visible mesh count: 386
[2021-06-03 23:13:12]	,----- FRAME: 26685 time: 43.83ms Moving avg: 17.05ms 11 frames since last 
[2021-06-03 23:13:12]	,                    ModelContext_updateVises, 10.51 ms
[2021-06-03 23:13:12]	,----- FRAME: 26705 time: 23.26ms Moving avg: 17.18ms 21 frames since last 
[2021-06-03 23:13:30]	,                                                SerialEvent::UnitSelectionChanged, 5.84 ms
[2021-06-03 23:13:30]	,----- FRAME: 27756 time: 15.63ms Moving avg: 16.15ms 1052 frames since last 
[2021-06-03 23:13:33]	,            ModelContext_updateVises, 16.01 ms
[2021-06-03 23:13:33]	,----- FRAME: 27905 time: 29.89ms Moving avg: 16.82ms 150 frames since last 
